bench,node,strategy,throughput
pca,8,ttas-ls,0.0343053173241852
s_raytrace,6,clh_spin,0.104058272632674
streamcluster,6,malth_stp,0.0626959247648903
radiosity,1,mcs_spin,0.0666666666666667
lu_ncb,2,alock-ls,0.01806684733514
streamcluster_ll,6,spinlock-ls,10651
linear_regression,8,mutexee,1.21951219512195
p_raytrace,4,ahmcs,0.0136184120931499
ssl_proxy,6,pthread,14247
histogram,2,clh-ls,0.581395348837209
s_raytrace_ll,4,spinlock,92789
barnes,6,malth_stp,0.076103500761035
string_match,1,mcs-ls,0.0147775971627013
dedup,6,malth_spin,0.0482858522452921
freqmine,6,ticket-ls,0.0255754475703325
blackscholes,4,partitioned,0.0287521564117309
p_raytrace,6,ahmcs,0.0136855070480361
streamcluster,8,partitioned,0.0633713561470216
volrend,8,backoff,0.0867302688638335
bodytrack,6,c-ptl-tkt,0.0485436893203883
s_raytrace,6,c-bo-mcs_stp,0.0232126276694522
water_spatial,6,pthread,0.0769230769230769
vips,8,partitioned,0.105263157894737
streamcluster_ll,1,alock-ls,5644
pca,2,spinlock-ls,0.0686813186813187
pca_ll,1,partitioned,139601
radiosity,2,spinlock-ls,0.0554016620498615
lu_cb,2,mcs-timepub,0.0369549150036955
volrend,1,ahmcs,0.0539374325782093
ssl_proxy,8,backoff,125573
streamcluster_ll,2,spinlock-ls,15180
bodytrack,4,ahmcs,0.0438788942518649
radiosity_ll,2,c-bo-mcs_spin,171700
s_raytrace_ll,8,ttas,87500
kyotocabinet,2,c-bo-mcs_spin,435637
ssl_proxy,4,alock-ls,56133
vips,8,alock-ls,0.099304865938431
barnes,6,clh_spin,0.0620732464307883
fmm,1,c-ptl-tkt,0.0301750150875075
ssl_proxy,6,c-tkt-tkt,47521
dedup,8,ticket,0.0489476260401371
water_nsquared,6,mcs_spin,0.0359712230215827
water_nsquared,4,mcs-timepub,0.0254388196387688
pca_ll,8,pthread,113571
pca,8,clh-ls,0.0592417061611374
blackscholes,8,ticket,0.032927230819888
upscaledb,2,spinlock,147736
histogram,1,ticket,0.45045045045045
lu_ncb,6,malth_spin,0.0386996904024768
p_raytrace,2,ttas-ls,0.0134354426978369
blackscholes,1,c-bo-mcs_spin,0.0178094390026714
linear_regression,8,mcs_spin,1.35135135135135
x264,2,ttas-ls,0.0840336134453781
streamcluster,6,mcs_spin,0.078064012490242
streamcluster,2,mcs_spin,0.625
ssl_proxy,4,clh_spin,47069
bodytrack,2,ttas-ls,0.0328299409061064
kmeans,6,hticket-ls,0.0330906684315023
blackscholes,8,pthreadadapt,0.0334336342360415
streamcluster_ll,1,mutexee,5755
memcached-old,6,c-bo-mcs_stp,65724
kyotocabinet,1,spinlock-ls,346006
pca_ll,2,mutexee,245494
matrix_multiply,2,alock-ls,0.0481695568400771
barnes,4,mcs-ls,0.0567536889897843
swaptions,2,hticket-ls,0.0237473284255521
water_nsquared,4,backoff,0.0239578342117873
word_count,8,backoff,0.0952380952380952
canneal,6,hticket-ls,0.0144258511252164
sqlite,1,malth_stp,5237
canneal,2,c-ptl-tkt,0.0110705192073508
x264,4,mcs_stp,0.107991360691145
upscaledb,4,mcs_stp,75469
matrix_multiply,8,clh-ls,0.102986611740474
p_raytrace,4,hticket-ls,0.0135116876097825
vips,2,c-ptl-tkt,0.0733675715333822
x264,4,c-bo-mcs_spin,0.111358574610245
memcached-old,4,c-bo-mcs_stp,47086
x264,8,mutexee,0.109289617486339
pca,4,ttas,0.0679809653297077
s_raytrace_ll,6,ttas,84767
kmeans,1,spinlock-ls,0.0111308993766696
ferret,4,c-ptl-tkt,0.0218388294387421
bodytrack,2,clh_spin,0.0319386777387416
x264,4,hmcs,0.108932461873638
canneal,1,clh-ls,0.00776216719708142
pca,4,spinlock-ls,0.0520562207183758
upscaledb,8,pthread,114700
s_raytrace,8,ticket,0.0221483942414175
s_raytrace,8,alock-ls,0.053763440860215
pca,8,mcs_spin,0.0598444045481747
ferret,4,hmcs,0.0203956761166633
linear_regression,8,c-ptl-tkt,1.44927536231884
fmm,2,c-ptl-tkt,0.0406338886631451
ssl_proxy,8,ticket,40526
word_count,4,mcs-timepub,0.0887311446317657
lu_cb,4,backoff,0.0643500643500644
pca,2,ticket,0.0683526999316473
swaptions,4,ttas-ls,0.0420698359276399
word_count,4,partitioned,0.116144018583043
fmm,4,malth_stp,0.0505305709954523
memcached-new,2,malth_stp,118588
kyotocabinet,8,ttas,65853
lu_ncb,4,c-bo-mcs_stp,0.0274273176083379
barnes,2,mcs_spin,0.0348432055749129
bodytrack,1,clh_spin,0.0203873598369011
x264,2,mcs_spin,0.0866551126516465
fmm,2,clh_stp,0.0504286434694907
histogram,8,clh-ls,0.251256281407035
x264,2,ticket,0.0856164383561644
canneal,4,c-bo-mcs_stp,0.0125187781672509
streamcluster,4,alock-ls,0.344827586206897
matrix_multiply,4,clh_spin,0.0918273645546373
fmm,2,c-tkt-tkt,0.0381242851696531
ferret,4,c-bo-mcs_spin,0.0388048117966628
volrend,8,clh-ls,0.085397096498719
blackscholes,1,mcs_stp,0.0177462289263531
water_nsquared,2,malth_spin,0.0132345156167284
fmm,2,spinlock,0.0445235975066785
radiosity,4,pthreadadapt,0.0506842372022301
bodytrack,6,pthreadadapt,0.0477783086478739
volrend,6,clh-ls,0.127877237851662
streamcluster,6,partitioned,0.180831826401447
matrix_multiply,2,ttas-ls,0.0435729847494553
kyotocabinet,4,c-bo-mcs_stp,106356
streamcluster_ll,6,hmcs,16561
barnes,6,mcs-ls,0.0759301442672741
s_raytrace,4,ttas,0.0679809653297077
dedup,6,malth_spin,0.0458715596330275
streamcluster_ll,6,ticket,6661
ferret,8,mcs-timepub,0.0491159135559921
upscaledb,6,malth_spin,233856
kmeans,8,backoff,0.0398247710075667
radiosity_ll,8,mcs_stp,23675
ssl_proxy,8,ahmcs,40716
streamcluster,4,ahmcs,0.36231884057971
streamcluster_ll,2,c-tkt-tkt,14191
matrix_multiply,8,ticket-ls,0.104275286757039
barnes,6,hmcs,0.0757002271006813
lu_cb,4,pthreadadapt,0.06765899864682
pca,4,mcs_spin,0.0605326876513317
