bench,node,strategy,throughput,latency
sqlite,4,malth_stp,11087,158719
ssl_proxy,1,c-ptl-tkt,37570,803327
ssl_proxy,1,spinlock,38555,786431
upscaledb,1,spinlock-ls,151698,247
memcached-new,1,ttas,258522,3353
memcached-new,1,spinlock,268370,3469
memcached-new,6,mcs-ls,302715,3991
ssl_proxy,6,partitioned,32095,6287359
ssl_proxy,8,mcs-ls,25675,12304383
mysqld,6,pthread,1009,14402
memcached-new,6,mcs_spin,282411,4639
ssl_proxy,4,mcs-ls,38374,3356671
memcached-new,2,c-bo-mcs_stp,152631,22175
memcached-old,1,c-bo-mcs_spin,138579,1422
kyotocabinet,4,mcs_spin,303879,315
sqlite,6,pthread,3199,531967
ssl_proxy,6,pthreadadapt,14968,16482303
ssl_proxy,1,backoff,40242,745471
memcached-new,6,ahmcs,319568,3019
memcached-new,6,ttas-ls,166234,7823
mysqld,2,mcs_stp,969,15016
memcached-new,6,malth_spin,271225,40159
memcached-new,2,hmcs,292869,3381
memcached-new,6,mcs-ls,287756,4151
memcached-new,1,mcs_spin,256937,3433
mysqld,6,mcs_stp,966,25185
memcached-new,2,hmcs,333079,2975
ssl_proxy,8,malth_spin,26128,16941055
kyotocabinet,6,c-tkt-tkt,283736,2323
upscaledb,8,c-bo-mcs_stp,95133,552
mysqld,1,c-bo-mcs_stp,842,12248
upscaledb,6,c-ptl-tkt,171961,4263
upscaledb,8,ttas,48353,23103
upscaledb,1,c-tkt-tkt,165365,603
kyotocabinet,4,c-bo-mcs_stp,313954,138
memcached-old,4,ttas,39554,5863
sqlite,1,c-bo-mcs_stp,9629,142719
kyotocabinet,1,hmcs,375772,128
memcached-new,4,malth_spin,291112,27119
upscaledb,8,clh_stp,48882,1382
kyotocabinet,1,c-ptl-tkt,369758,117
kyotocabinet,1,alock-ls,310510,79
memcached-old,4,hmcs,75935,3227
sqlite,1,pthread,6883,182655
kyotocabinet,6,mcs-timepub,238596,597
upscaledb,2,ttas-ls,130154,554
memcached-new,2,spinlock-ls,175219,16327
kyotocabinet,4,malth_spin,252337,169
memcached-new,4,c-bo-mcs_stp,137635,58143
ssl_proxy,2,clh_spin,39945,1631231
upscaledb,2,ahmcs,196521,2023
kyotocabinet,1,clh_stp,76603,286
memcached-new,6,mcs_spin,289560,3317
sqlite,1,mutexee,7596,164991
ssl_proxy,4,hticket-ls,40464,6602751
kyotocabinet,8,mcs-timepub,218672,874
ssl_proxy,6,pthreadadapt,14639,31522815
ssl_proxy,4,ticket-ls,28043,4317183
ssl_proxy,1,clh-ls,36440,821759
sqlite,8,c-bo-mcs_stp,2315,1185791
upscaledb,8,mcs-ls,155958,522
upscaledb,2,ttas,128517,960
memcached-old,2,malth_spin,89770,2253
ssl_proxy,4,ticket-ls,27565,4386815
memcached-old,1,pthreadadapt,116250,1767
kyotocabinet,8,spinlock,16127,25391
upscaledb,1,hmcs,145007,601
upscaledb,1,clh_stp,68401,142
memcached-new,6,mcs_spin,319811,3019
kyotocabinet,1,malth_spin,333225,144
memcached-new,6,mcs_spin,322440,3237
memcached-new,2,pthreadadapt,160968,7283
ssl_proxy,1,mutexee,33337,879103
upscaledb,1,hticket-ls,142465,960
memcached-old,6,spinlock,24082,16895
kyotocabinet,6,mutexee,84679,3235
sqlite,6,mutexee,3066,561663
memcached-old,4,c-bo-mcs_stp,100507,2253
memcached-new,4,c-bo-mcs_spin,223358,22191
kyotocabinet,8,clh-ls,230290,821
memcached-old,1,mutexee,117544,1524
kyotocabinet,2,pthreadadapt,219509,746
ssl_proxy,4,ahmcs,43413,5017599
kyotocabinet,2,pthreadadapt,213843,783
upscaledb,1,hmcs,153367,884
upscaledb,2,pthreadadapt,105586,2581
ssl_proxy,1,hticket-ls,37561,790015
memcached-new,4,mutexee,95849,11799
ssl_proxy,2,clh_stp,5135,16719871
upscaledb,4,ahmcs,199994,3595
memcached-old,2,ttas-ls,95074,4251
upscaledb,2,pthread,92468,1543
memcached-old,2,mcs-ls,90204,2105
kyotocabinet,2,malth_spin,305807,147
ssl_proxy,6,ahmcs,37830,13148159
sqlite,2,mutexee,6324,213887
memcached-old,2,mutexee,90080,1922
mysqld,8,mcs-timepub,692,50720
memcached-new,2,spinlock-ls,177504,14487
ssl_proxy,1,mcs-ls,37972,811519
ssl_proxy,4,hticket-ls,41473,3719167
memcached-new,2,hmcs,328120,3015
ssl_proxy,6,ttas,4956,87687167
memcached-new,2,mcs_spin,321586,3097
kyotocabinet,6,partitioned,248012,565
upscaledb,8,mutexee,84732,14855
memcached-new,6,spinlock,31908,43583
memcached-new,4,alock-ls,292321,3411
ssl_proxy,2,mcs_stp,5134,11689983
memcached-new,6,mcs_spin,283769,3373
memcached-old,1,mcs-timepub,130490,1464
memcached-old,7,mutexee,15777,30767
memcached-new,6,backoff,244199,23887
upscaledb,1,mcs-timepub,160876,76
upscaledb,1,c-tkt-tkt,150449,687
upscaledb,1,mcs-ls,163839,75
kyotocabinet,4,clh-ls,271870,344
memcached-new,6,ticket-ls,193157,7943
ssl_proxy,8,ttas-ls,6284,83951615
upscaledb,2,mcs_stp,66941,270
ssl_proxy,1,mcs_spin,38525,767487
ssl_proxy,1,mutexee,33004,881663
memcached-new,6,mcs-ls,295082,4089
ssl_proxy,8,c-bo-mcs_stp,4045,85590015
kyotocabinet,6,c-bo-mcs_stp,182053,298
memcached-old,7,hmcs,46954,26047
upscaledb,4,c-bo-mcs_spin,190978,40
memcached-old,7,c-bo-mcs_spin,51367,24447
memcached-new,4,ticket,132180,8139
upscaledb,8,pthreadadapt,88160,7219
upscaledb,2,c-bo-mcs_stp,180536,37
upscaledb,4,mcs_spin,178489,220
ssl_proxy,6,malth_stp,24520,10534911
memcached-old,7,ttas,16462,33023
ssl_proxy,1,spinlock-ls,39466,758783
ssl_proxy,6,partitioned,31338,6189055
ssl_proxy,1,malth_spin,35606,903167
memcached-new,2,spinlock-ls,183732,13983
mysqld,1,pthreadadapt,1024,18790
memcached-new,4,mcs_stp,91509,11631
mysqld,1,mutexee,1061,11467
ssl_proxy,6,ttas,5150,87490559
memcached-new,2,spinlock-ls,198946,8327
memcached-new,6,mcs_spin,308409,3219
memcached-new,6,hmcs,309329,3437
sqlite,1,mutexee,7348,178815
mysqld,4,pthread,1014,13171
upscaledb,8,ttas,48808,24383
memcached-new,2,backoff,233695,10799
ssl_proxy,6,ticket,9664,25821183
kyotocabinet,4,spinlock,69834,2711
upscaledb,6,pthreadadapt,91844,4611
upscaledb,4,mcs_spin,178159,221
memcached-new,2,c-tkt-tkt,333261,2935
upscaledb,8,ticket-ls,118439,626
mysqld,6,pthread,985,29672
kyotocabinet,8,ticket,105834,1623
sqlite,2,malth_stp,10364,135167
kyotocabinet,4,c-ptl-tkt,309495,1981
ssl_proxy,8,ticket-ls,15828,40730623
kyotocabinet,2,partitioned,314906,154
upscaledb,8,c-bo-mcs_spin,174524,73
upscaledb,6,pthread,72374,3899
memcached-old,6,mcs_stp,21815,12071
upscaledb,4,ttas-ls,91248,1552
ssl_proxy,8,ticket,8336,74252287
memcached-old,2,mcs-timepub,66370,4063
memcached-old,6,mcs_spin,26878,15999
upscaledb,2,c-bo-mcs_spin,192133,26
upscaledb,2,spinlock,124485,669
ssl_proxy,4,spinlock-ls,7937,33357823
memcached-old,1,ticket-ls,181228,1249
kyotocabinet,6,hmcs,310504,2129
mysqld,4,mcs_stp,924,54630
memcached-old,7,ttas-ls,14773,37567
upscaledb,1,ttas-ls,154425,232
kyotocabinet,2,spinlock-ls,131945,692
memcached-new,6,malth_spin,273257,39455
kyotocabinet,1,hticket-ls,364804,120
kyotocabinet,1,spinlock-ls,271787,144
kyotocabinet,4,ttas,89883,3855
mysqld,8,mutexee,1023,31401
ssl_proxy,8,spinlock-ls,3269,88997887
memcached-new,6,mcs-ls,289071,4167
upscaledb,4,clh_stp,57133,611
upscaledb,1,c-bo-mcs_spin,152731,31
ssl_proxy,8,partitioned,23789,22380543
upscaledb,1,clh-ls,162402,76
ssl_proxy,6,pthread,9478,49119231
memcached-old,4,hmcs,84791,3525
memcached-new,6,ahmcs,323218,3055
kyotocabinet,4,ticket,138827,633
upscaledb,4,pthreadadapt,132845,3527
memcached-new,4,malth_stp,247628,31455
ssl_proxy,8,pthread,7836,77266943
ssl_proxy,8,mcs_spin,27337,17678335
memcached-old,2,spinlock,70062,6135
ssl_proxy,4,hmcs,42953,4898815
memcached-old,4,ttas-ls,48436,4271
kyotocabinet,4,mutexee,108794,1647
ssl_proxy,6,mutexee,8980,50200575
ssl_proxy,1,clh_stp,33375,922623
memcached-new,2,mcs_spin,316458,3173
upscaledb,8,ticket,89833,786
upscaledb,2,mutexee,79244,5711
sqlite,6,mcs-timepub,1373,1752063
kyotocabinet,1,malth_stp,313172,141
memcached-old,7,ticket,13677,35007
ssl_proxy,4,mcs_spin,37484,3196927
upscaledb,2,hmcs,199043,2189
ssl_proxy,6,ticket-ls,22000,9560063
kyotocabinet,1,c-bo-mcs_spin,405039,18
memcached-old,7,hmcs,51452,22735
memcached-new,2,spinlock,158891,19727
ssl_proxy,8,mutexee,7517,84738047
ssl_proxy,8,ttas-ls,6391,83886079
memcached-old,2,c-tkt-tkt,103304,1879
memcached-new,4,pthread,86339,12943
memcached-new,6,mcs-ls,274246,6743
upscaledb,1,hticket-ls,145708,596
memcached-new,2,pthread,158346,6423
ssl_proxy,4,c-bo-mcs_stp,25432,15630335
upscaledb,6,clh_stp,48278,1055
kyotocabinet,2,mcs-ls,301844,159
kyotocabinet,4,mutexee,136622,1399
mysqld,6,c-bo-mcs_stp,760,13553
kyotocabinet,4,c-bo-mcs_spin,355029,36
upscaledb,6,spinlock-ls,36182,9127
ssl_proxy,8,ttas,4028,88801279
memcached-new,4,c-bo-mcs_stp,141859,58143
memcached-old,4,ticket,36194,7839
upscaledb,4,mcs-ls,176062,218
upscaledb,2,pthread,92338,1605
upscaledb,8,pthreadadapt,87189,7119
kyotocabinet,2,c-ptl-tkt,324231,432
upscaledb,6,alock-ls,163528,357
upscaledb,2,spinlock-ls,130835,631
kyotocabinet,2,ticket-ls,296948,162
upscaledb,8,mcs_stp,49884,1384
kyotocabinet,6,ticket,114696,1136
memcached-old,1,alock-ls,99564,1557
sqlite,8,mcs_stp,1610,1019391
kyotocabinet,1,ahmcs,370074,110
ssl_proxy,8,hticket-ls,28351,19562495
upscaledb,2,pthread,93220,1974
ssl_proxy,2,alock-ls,43174,1461247
upscaledb,2,clh-ls,173354,122
upscaledb,1,ticket-ls,162352,76
memcached-old,2,backoff,73504,6511
sqlite,1,mcs_stp,10666,119743
sqlite,8,pthread,2762,667647
ssl_proxy,2,c-tkt-tkt,47177,1342463
upscaledb,2,hticket-ls,196522,2349
upscaledb,6,mutexee,87890,5459
memcached-old,4,c-bo-mcs_stp,92938,2751
upscaledb,1,mcs-timepub,159913,76
upscaledb,2,c-bo-mcs_spin,193373,26
ssl_proxy,4,mcs-timepub,35457,3530751
upscaledb,4,ticket,109347,330
kyotocabinet,8,ttas,44835,20543
memcached-new,6,mcs_spin,315940,3585
upscaledb,6,hticket-ls,172305,5403
sqlite,2,mcs_stp,1836,719359
kyotocabinet,4,spinlock-ls,90204,2037
upscaledb,8,pthreadadapt,88483,7019
ssl_proxy,1,ttas,40252,786431
kyotocabinet,4,spinlock-ls,103315,1690
kyotocabinet,2,c-ptl-tkt,326966,333
kyotocabinet,2,partitioned,310338,155
memcached-new,6,mcs_spin,317679,3083
upscaledb,1,mutexee,79444,1920
kyotocabinet,2,ahmcs,344591,477
kyotocabinet,8,pthread,63795,5487
upscaledb,6,c-bo-mcs_spin,181546,59
upscaledb,8,pthread,56521,4883
kyotocabinet,1,mcs_spin,348681,72
memcached-new,2,pthreadadapt,159931,7063
memcached-old,4,malth_stp,42971,10823
memcached-new,4,pthreadadapt,131854,9359
ssl_proxy,1,mcs-timepub,36560,883199
kyotocabinet,2,pthread,190904,450
upscaledb,8,alock-ls,163439,472
kyotocabinet,6,c-bo-mcs_stp,176854,319
ssl_proxy,2,backoff,45145,1767423
memcached-old,7,hmcs,46961,23791
ssl_proxy,8,malth_spin,25914,19791871
ssl_proxy,2,clh_stp,5102,12410879
upscaledb,1,pthread,85029,1921
upscaledb,6,malth_spin,192518,331
upscaledb,2,clh_spin,181267,117
ssl_proxy,2,pthread,27308,2600959
upscaledb,4,c-bo-mcs_stp,124254,220
memcached-new,4,ttas,100600,14215
memcached-old,7,mutexee,15221,34559
memcached-old,4,alock-ls,54806,10263
upscaledb,6,malth_spin,192479,333
upscaledb,2,mutexee,84520,2499
upscaledb,2,c-ptl-tkt,196167,1388
memcached-new,2,c-bo-mcs_spin,192915,12623
upscaledb,1,ticket,154793,79
kyotocabinet,4,ahmcs,337539,1667
memcached-old,4,hmcs,82990,3145
memcached-old,4,ahmcs,38175,9919
upscaledb,8,ticket,88560,801
kyotocabinet,2,hticket-ls,332409,329
kyotocabinet,8,spinlock,16168,24735
upscaledb,4,c-ptl-tkt,189579,3817
ssl_proxy,4,malth_stp,25775,9625599
memcached-new,4,mutexee,101023,11143
ssl_proxy,8,clh_stp,4048,89391103
sqlite,1,mutexee,7453,170367
mysqld,6,malth_stp,904,8517
kyotocabinet,4,ticket-ls,233904,393
upscaledb,2,alock-ls,176559,121
ssl_proxy,4,clh_spin,37939,4073471
memcached-new,4,ticket-ls,231314,4903
ssl_proxy,2,partitioned,43200,1548287
upscaledb,4,partitioned,174053,224
sqlite,8,malth_stp,11857,216831
memcached-old,4,pthread,36316,7459
upscaledb,2,pthread,79757,4267
upscaledb,1,backoff,145167,299
kyotocabinet,4,mutexee,122410,1507
sqlite,2,malth_stp,10532,131839
mysqld,1,mcs-timepub,737,66150
sqlite,6,pthreadadapt,5010,350975
ssl_proxy,2,hmcs,43347,1386495
kyotocabinet,6,clh_spin,268229,535
memcached-old,7,mcs_spin,17872,31343
ssl_proxy,1,partitioned,39071,770047
kyotocabinet,2,mcs_stp,79667,544
upscaledb,4,spinlock-ls,76158,2391
memcached-old,7,alock-ls,22591,30879
upscaledb,2,partitioned,178489,121
memcached-new,6,c-tkt-tkt,300773,3257
kyotocabinet,8,hticket-ls,276114,3015
ssl_proxy,2,ahmcs,42824,2707455
mysqld,2,pthread,998,11886
upscaledb,2,malth_spin,192586,354
memcached-new,1,alock-ls,233669,3293
kyotocabinet,4,c-ptl-tkt,310089,1979
memcached-old,2,spinlock-ls,97672,2353
memcached-old,1,alock-ls,102724,1595
memcached-new,4,ahmcs,320618,3117
ssl_proxy,4,clh_spin,38157,3551231
memcached-new,6,mcs_spin,327404,2939
memcached-new,2,pthreadadapt,160888,6939
ssl_proxy,6,mcs-timepub,28964,6430719
memcached-old,1,alock-ls,106820,1707
ssl_proxy,6,c-bo-mcs_stp,22193,32194559
memcached-new,2,mutexee,194618,5323
sqlite,4,mcs-timepub,11410,176255
kyotocabinet,1,mcs-ls,321314,77
sqlite,4,pthreadadapt,6168,244479
mysqld,2,mcs_stp,984,17527
ssl_proxy,4,mcs-ls,38092,3289087
mysqld,4,pthreadadapt,997,21946
kyotocabinet,6,ticket,114127,1141
ssl_proxy,6,partitioned,31710,10018815
memcached-old,6,mcs-timepub,21062,19999
mysqld,6,mcs_stp,945,19980
ssl_proxy,8,pthread,7718,86310911
ssl_proxy,6,spinlock,3520,84738047
memcached-new,6,ahmcs,329792,2957
memcached-new,1,mcs_stp,243835,3583
ssl_proxy,6,clh_stp,4474,88932351
sqlite,1,pthread,7049,176895
memcached-new,2,c-tkt-tkt,291367,3453
kyotocabinet,8,clh-ls,230184,820
upscaledb,4,malth_stp,172452,323
kyotocabinet,1,partitioned,349514,72
kyotocabinet,4,pthread,115750,1441
memcached-new,6,ticket-ls,189963,8035
mysqld,8,pthreadadapt,1009,16788
upscaledb,2,ttas,120544,837
kyotocabinet,1,hticket-ls,372128,133
kyotocabinet,6,ttas,57415,10351
sqlite,2,mcs-timepub,12566,117375
memcached-new,4,mutexee,96082,11735
mysqld,6,pthreadadapt,992,19149
memcached-old,1,mutexee,119186,1557
upscaledb,2,clh_stp,66683,274
