bench,node,strategy,throughput
dedup,4,c-bo-mcs_stp,0.0192975685063682
histogram,4,partitioned,0.480769230769231
water_spatial,8,alock-ls,0.050761421319797
swaptions,1,ticket-ls,0.0110852455381887
word_count,4,ticket,0.0927643784786642
memcached-new,4,ahmcs,360441
streamcluster_ll,1,partitioned,7292
s_raytrace_ll,2,ticket,129986
memcached-old,6,mcs-timepub,20198
memcached-old,2,mcs_stp,75432
matrix_multiply,8,ttas,0.0983284169124877
dedup,4,partitioned,0.0480769230769231
pca_ll,1,mcs-ls,97609
memcached-new,2,ttas,236281
upscaledb,4,mcs-timepub,142914
freqmine,2,backoff,0.0104199228925706
vips,4,mcs_stp,0.104166666666667
rocksdb,2,hticket-ls,2444201
ssl_proxy,8,c-bo-mcs_stp,19076
p_raytrace,8,pthread,0.00652869360840896
lu_ncb,4,mcs-timepub,0.0402414486921529
matrix_multiply,8,hticket-ls,0.0973709834469328
upscaledb,8,ticket-ls,125330
linear_regression,2,spinlock-ls,0.735294117647059
rocksdb,1,hticket-ls,1146683
freqmine,8,c-bo-mcs_spin,0.0182515057492243
vips,6,pthread,0.143884892086331
upscaledb,2,c-ptl-tkt,2803
s_raytrace_ll,8,ttas,57362
matrix_multiply,6,hticket-ls,0.0760456273764259
freqmine,8,c-bo-mcs_stp,0.0176522506619594
fluidanimate,8,mcs_stp,0.00413342702434588
matrix_multiply,1,c-bo-mcs_stp,0.0137646249139711
p_raytrace,2,ahmcs,0.00656857593273778
histogram,2,malth_spin,0.401606425702811
s_raytrace,6,c-bo-mcs_spin,0.0657462195923734
s_raytrace_ll,2,pthread,132691
kyotocabinet,1,c-bo-mcs_stp,286628
fmm,1,alock-ls,0.0214500214500215
swaptions,6,alock-ls,0.0574712643678161
upscaledb,6,malth_spin,187367
p_raytrace,4,ticket,0.00647165415480197
pca_ll,4,ticket-ls,209993
p_raytrace,2,ahmcs,0.00659413122321134
barnes,1,clh-ls,0.015852885225111
memcached-new,4,ahmcs,385039
string_match,8,pthread,0.0624609618988132
s_raytrace,2,mcs-timepub,0.0336021505376344
memcached-new,4,alock-ls,297269
ferret,4,ticket-ls,0.0131027253668763
string_match,8,hmcs,0.0640614990390775
kmeans,2,c-bo-mcs_spin,0.012993762993763
vips,2,malth_spin,0.0323415265200517
word_count,8,c-bo-mcs_stp,0.0794912559618442
blackscholes,6,ttas,0.0232018561484919
pca_ll,4,partitioned,206031
lu_cb,8,pthread,0.0647668393782384
freqmine,4,ttas,0.0152975370965275
s_raytrace,8,c-ptl-tkt,0.0892857142857143
rocksdb,4,ahmcs,4294437
kyotocabinet,2,ttas,189463
memcached-new,4,malth_stp,249245
matrix_multiply,1,c-bo-mcs_spin,0.0133636242148871
kyotocabinet,4,mcs-timepub,253306
s_raytrace,1,malth_spin,0.0173761946133797
bodytrack,8,ttas-ls,0.0405844155844156
volrend,2,c-bo-mcs_spin,0.0755857898715042
rocksdb,4,backoff,4360720
water_nsquared,1,hmcs,0.00489356496207487
