bench,node,strategy,throughout,tpp
upscaledb,2,c-bo-mcs_stp,61748,697.517401504811
lu_ncb,1,ticket,0.0496031746031746,0.00034457107205457
streamcluster,1,c-ptl-tkt,1.12359550561798,0.00899141426935107
matrix_multiply,1,hticket-ls,0.0340367597004765,0.000275989975510877
dedup,2,hmcs,0.0388802488335925,0.000402768589071127
pca_ll,1,pthread,407837,2622.42820312134
kmeans,1,ticket,0.0315556958030925,0.000260600170176706
histogram,1,ttas-ls,0.980392156862745,0.00826168736091294
histogram,2,c-ptl-tkt,0.374531835205993,0.00378043984170013
histogram,2,partitioned,0.436681222707424,0.00423082503046966
histogram,2,hticket-ls,0.636942675159236,0.00537085106253507
radiosity,2,c-bo-mcs_spin,0.114285714285714,0.00122179005580235
x264,1,ticket-ls,0.0889679715302491,0.000681630793767171
string_match,2,spinlock-ls,0.0611246943765281,0.000380508880819484
p_raytrace,1,clh-ls,0.0177022481855196,0.000218691630663881
streamcluster_ll,2,mcs_stp,23788,153.305426564197
streamcluster_ll,2,backoff,25904,168.624658643126
vips,2,malth_spin,0.142450142450142,0.000889922883563439
lu_cb,1,mcs_spin,0.0520833333333333,0.000436811852340978
upscaledb,2,ahmcs,334549,2185.25124164348
vips,2,mutexee,0.171526586620926,0.00105455081480807
histogram,2,malth_spin,0.393700787401575,0.00393294713706482
lu_ncb,1,mutexee,0.0491883915395967,0.000341319070849033
matrix_multiply,1,c-bo-mcs_spin,0.0343760742523204,0.000280755803089512
water_nsquared,2,ahmcs,0.0229937916762474,0.000168534443939545
streamcluster,2,mcs_spin,0.72992700729927,0.00481537593452121
upscaledb,1,malth_spin,284685,2412.97196641658
vips,2,alock-ls,0.099403578528827,0.000638968321951846
vips,2,ticket,0.154320987654321,0.000953996164195119
matrix_multiply,1,c-bo-mcs_stp,0.0345184673800483,0.000283821983649208
pca,2,c-bo-mcs_stp,0.0650195058517555,0.000564736852468779
histogram,2,ticket-ls,0.53475935828877,0.00475733151646403
histogram,2,mcs-ls,0.45045045045045,0.00429635796017173
vips,2,mcs-ls,0.103842159916926,0.000661550879163972
s_raytrace_ll,2,mcs-timepub,327474,1880.58918512195
streamcluster,1,ticket-ls,1.01010101010101,0.00842915967313337
pca_ll,2,c-bo-mcs_spin,776747,3657.56801964433
histogram,2,mcs-timepub,0.54054054054054,0.00490115757107884
volrend,1,mcs_spin,0.104602510460251,0.00100600076033135
lu_ncb,2,spinlock-ls,0.0677966101694915,0.000386569491910185
canneal,1,mcs_spin,0.0158503724837534,0.00016112032753757
memcached-new,1,c-bo-mcs_spin,453343,2804.17538171874
histogram,2,spinlock,0.574712643678161,0.00498534542755534
streamcluster,1,ahmcs,1.40845070422535,0.0118606375092661
ferret,2,mcs_stp,0.04510599909788,0.000277020351886603
linear_regression,2,ttas,2,0.012673902095982
histogram,2,c-bo-mcs_stp,0.436681222707424,0.00411728896367075
barnes,2,backoff,0.0972762645914397,0.000651815952726135
radiosity_ll,2,ahmcs,513252,2999.04894436985
s_raytrace,2,mcs_stp,0.00233672157962379,2.99898878761509e-05
matrix_multiply,1,c-tkt-tkt,0.0340947834981248,0.000278760090627102
histogram,2,mcs-ls,0.515463917525773,0.00473283008519993
kmeans,2,c-tkt-tkt,0.0382116927779901,0.000241098637809863
linear_regression,1,mcs_stp,1.47058823529412,0.0107537715278005
s_raytrace,2,clh_stp,0.00235072872590503,3.00985835618134e-05
radiosity,2,mcs_stp,0.0216919739696312,0.000273959647300591
freqmine,2,hticket-ls,0.0287686996547756,0.000204719109703074
histogram,2,malth_stp,0.480769230769231,0.00445358684669822
p_raytrace,1,clh-ls,0.017614937466972,0.000217939050183628
histogram,1,ttas-ls,0.970873786407767,0.00814185024605282
radiosity,2,clh_stp,0.0164122763827343,0.00020861599596899
histogram,2,ahmcs,0.404858299595142,0.00403050157842906
word_count,1,clh_stp,0.168350168350168,0.00131329792460619
radiosity,1,spinlock-ls,0.108932461873638,0.00119054528745697
streamcluster,2,backoff,0.645161290322581,0.0043306403174342
sqlite,1,mutexee,21094,165.187279649143
histogram,2,ahmcs,0.45045045045045,0.00429818782942413
water_spatial,2,mutexee,0.0884955752212389,0.000638945253710672
histogram,2,spinlock-ls,0.378787878787879,0.00382884295501722
p_raytrace,1,spinlock-ls,0.0173010380622837,0.000214678391993693
kyotocabinet,2,pthread,313660,2508.79582247663
pca,2,c-bo-mcs_stp,0.0667556742323097,0.000583371797563891
pca_ll,2,mcs_stp,59644,642.474526984808
linear_regression,2,mcs-ls,2,0.0122618416221789
radiosity_ll,1,ticket-ls,326119,2593.29996173654
histogram,2,pthreadadapt,0.561797752808989,0.00493730096814054
fmm,2,malth_spin,0.0753012048192771,0.000589109097116641
sqlite,2,c-bo-mcs_stp,3950,39.2223165885783
fmm,1,ttas,0.0554631170271769,0.000492209080384157
kyotocabinet,1,partitioned,552479,4671.34289387121
vips,2,mcs_spin,0.127551020408163,0.000800292812414675
streamcluster,2,mcs_spin,0.925925925925926,0.00607268971943487
linear_regression,2,c-ptl-tkt,1.96078431372549,0.0124179186443289
lu_ncb,2,mcs-timepub,0.0647668393782384,0.000380302578002836
dedup,2,ticket-ls,0.00827198279427579,5.88274547740372e-05
histogram,2,pthreadadapt,0.421940928270042,0.00405350056498502
memcached-new,1,malth_stp,409060,2610.39509279927
lu_ncb,2,ahmcs,0.0749063670411985,0.000410383661011842
histogram,2,c-bo-mcs_stp,0.383141762452107,0.00380413487929977
lu_cb,2,spinlock,0.0782472613458529,0.000568857102954092
blackscholes,1,backoff,0.0267952840300107,0.000274214365751035
freqmine,2,hmcs,0.0285959393766085,0.00020326626958731
streamcluster,2,c-bo-mcs_spin,1.06382978723404,0.00686375886176475
streamcluster,2,ttas-ls,0.900900900900901,0.00589954887683621
kyotocabinet,1,ticket,548981,4600.28233974033
streamcluster,1,alock-ls,1.21951219512195,0.00952438388951227
streamcluster,1,partitioned,1.35135135135135,0.0115128094050258
ferret,2,c-bo-mcs_stp,0.0449438202247191,0.000275398448099561
histogram,2,ahmcs,0.4149377593361,0.00409907251679847
radiosity_ll,2,c-bo-mcs_stp,73772,623.168389066296
radiosity_ll,1,ttas,325183,2591.03696250084
pca_ll,2,c-bo-mcs_stp,96348,975.394699861429
ferret,1,mcs_spin,0.0263296471827278,0.000188414878660372
streamcluster,2,mcs_spin,0.699300699300699,0.00457650946977518
histogram,2,clh_stp,0.293255131964809,0.00306962703626319
histogram,1,partitioned,0.884955752212389,0.00734516901549747
streamcluster,2,ttas,0.900900900900901,0.0059398081463352
streamcluster_ll,2,mcs-timepub,31651,202.523274531903
pca,2,ttas-ls,0.125156445556946,0.00090810866243727
s_raytrace_ll,2,hticket-ls,327443,1894.45433428539
