bench,node,strategy,throughput,tpp
s_raytrace,1,ttas,0.0543183052688756,0.000344804799365587
kyotocabinet,3,c-bo-mcs_stp,201330,1442.8762683827
string_match,4,pthread,0.1194743130227,0.000531370858890401
streamcluster,2,spinlock-ls,0.355871886120996,0.00212089955910252
ferret,2,clh_spin,0.0526870389884089,0.000262615746091172
dedup,3,partitioned,0.00996115150911445,4.92834687784852e-05
canneal,4,pthreadadapt,0.0136686714051394,0.000110474002859885
fmm,2,c-ptl-tkt,0.0587889476778366,0.000402528401163192
pca_ll,2,hmcs,652827,2774.35260781695
x264,1,ttas-ls,0.08,0.000552490193551829
kmeans,2,mcs_stp,0.0315258511979823,0.000172516269284357
matrix_multiply,4,pthreadadapt,0.117096018735363,0.000517248439038092
ferret,2,ticket-ls,0.0518672199170124,0.000256382290032842
kmeans,3,mcs-timepub,0.0401929260450161,0.000191402776970444
memcached,1,c-tkt-tkt,150202,970.592511181083
radiosity_ll,3,clh_spin,241119,1197.71258399937
canneal,2,ttas-ls,0.012853470437018,0.00010478037702446
lu_cb,4,mcs_spin,0.0858369098712446,0.000497687291203104
water_nsquared,2,ticket,0.03725782414307,0.000204803548232942
streamcluster_ll,2,c-tkt-tkt,21222,124.304614320597
lu_cb,1,clh-ls,0.0438788942518649,0.000306440355426305
streamcluster,3,malth_spin,0.0608272506082725,0.000383634800637736
barnes,4,malth_stp,0.14367816091954,0.000691733447391878
radiosity_ll,4,alock-ls,285822,1234.89764171327
string_match,3,ttas,0.0944287063267233,0.000471326307227767
fmm,2,mutexee,0.0590667454223272,0.000411131330618473
streamcluster,3,mcs-ls,0.0423370025402202,0.000377868562933646
lu_cb,2,malth_stp,0.0637348629700446,0.00041060910267141
vips,4,hmcs,0.0502260170768458,0.000228974181019266
matrix_multiply,3,hticket-ls,0.0879507475813544,0.000443069455581592
ssl_proxy,2,clh-ls,58349,339.174654584657
s_raytrace,3,mcs_spin,0.137931034482759,0.000601690462229811
matrix_multiply,3,mcs_stp,0.079428117553614,0.000419917606488321
water_nsquared,4,mcs_spin,0.0602772754671489,0.00026844733237078
fmm,3,c-bo-mcs_spin,0.065402223675605,0.000432803047530723
dedup,1,clh-ls,0.0133779264214047,0.000109494763860314
volrend,2,mcs-timepub,0.110987791342952,0.000770779080008434
x264,1,mcs_stp,0.0809061488673139,0.000554409859265236
string_match,3,hmcs,0.0943396226415094,0.000472797466113089
canneal,2,mcs_spin,0.0128024580719498,0.000103788395534181
dedup,4,c-tkt-tkt,0.00295298842428538,1.40073520079202e-05
freqmine,4,spinlock-ls,0.0320410124959949,0.000179333910018225
ferret,2,mcs_stp,0.0526870389884089,0.000261973335901706
linear_regression,3,c-ptl-tkt,2.08333333333333,0.0114923662761476
streamcluster,2,hmcs,0.510204081632653,0.00302885378801388
pca,4,mcs-ls,0.0770416024653313,0.000459856072085235
water_spatial,4,ttas,0.117233294255569,0.000673713353068252
sqlite,3,pthread,11017,55.7101968203277
lu_ncb,2,malth_spin,0.0501002004008016,0.00030359124876464
matrix_multiply,4,pthreadadapt,0.114942528735632,0.000509058674940275
upscaledb,2,clh_spin,235704,1431.64623561358
water_spatial,2,mutexee,0.0792393026941363,0.000505973695199702
upscaledb,4,mutexee,62487,630.389145220889
s_raytrace,4,malth_stp,0.0491400491400491,0.000309174974930215
kmeans,4,spinlock-ls,0.0426257459505541,0.000179426547332455
volrend,4,spinlock-ls,0.0702247191011236,0.000449048002540387
matrix_multiply,1,ttas-ls,0.0310655483069276,0.000213499701865814
lu_ncb,2,mcs-ls,0.0484730974309258,0.000295002725167324
pca_ll,1,ticket-ls,355097,2211.84362635493
x264,4,mcs-timepub,0.12853470437018,0.000779150866519469
pca,3,c-tkt-tkt,0.0816993464052288,0.000530096620758774
streamcluster,3,alock-ls,0.36101083032491,0.00191874809085764
pca,3,pthread,0.0647668393782384,0.000399377201606762
p_raytrace,3,c-tkt-tkt,0.0134535180949818,0.000116433719863775
p_raytrace,3,alock-ls,0.0136165577342048,0.000118736815947068
linear_regression,2,clh_spin,1.75438596491228,0.0106436193423216
pca,1,c-bo-mcs_spin,0.0813008130081301,0.000591655270050011
p_raytrace,3,mcs_stp,0.0136202669572324,0.00011893930244083
blackscholes,2,mcs-timepub,0.0313676286072773,0.000239459709681524
word_count,2,backoff,0.0968054211035818,0.000759359227776619
streamcluster_ll,4,c-ptl-tkt,5112,32.0482041100468
bodytrack,1,c-tkt-tkt,0.0261917234154007,0.000228620482479528
barnes,2,ticket-ls,0.0893655049151028,0.000520974634678624
ferret,2,ticket,0.0525762355415352,0.000261880179823336
s_raytrace,1,hticket-ls,0.0538793103448276,0.00034273829610069
