bench,node,strategy,throughput
pca_ll,2,spinlock,325736
dedup,6,backoff,0.0444444444444444
swaptions,1,c-tkt-tkt,0.0135007425408397
water_spatial,4,mcs_spin,0.0575373993095512
water_spatial,1,clh_stp,0.0251509054325956
freqmine,6,mcs_stp,0.0205212394828648
volrend,4,malthusian_spin,0.101626016260163
pca,8,c-ptl-tkt,0.0422654268808115
pca,1,posix,0.0427350427350427
word_count,8,c-ptl-tkt,0.0753012048192771
ssl_proxy,2,malthusian_spin,36009
ocean_cp,4,cbomcs_spin,0.173611111111111
radix,1,c-ptl-tkt,0.0784929356357928
ocean_ncp,8,posix,0.0794912559618442
x264,6,ttas,0.0937207122774133
ocean_ncp,1,cbomcs_stp,0.110253583241455
streamcluster_ll,8,malthusian_stp,313
histogram,2,spinlock,0.595238095238095
radiosity,2,clh_spin,0.0237699072973615
kmeans,8,malthusian_spin,0.0318674314850223
lu_cb,4,cbomcs_stp,0.0484966052376334
fft,4,clh_stp,0.0726744186046512
streamcluster,4,mcs_spin,0.13550135501355
fmm,1,backoff,0.029673590504451
ferret,8,ticket,0.0146584579302257
ocean_cp,1,ticket,0.121212121212121
s_raytrace_ll,1,clh_stp,102056
water_nsquared,8,c-tkt-tkt,0.0335683115139309
bodytrack,4,c-tkt-tkt,0.0370096225018505
ssl_proxy,4,clh_spin,39996
volrend,8,posix,0.0395413206801107
ssl_proxy,8,clh_spin,26365
fluidanimate,1,mcs_spin,0.00572836111588475
pca,2,mcs_stp,0.0279485746226942
fmm,1,spinlock,0.0346740638002774
fmm,6,clh_stp,0.0516262261228704
barnes,6,clh_spin,0.072992700729927
lu_cb,8,malthusian_stp,0.0641848523748395
radiosity_ll,6,mcs_stp,10441
radiosity,6,mcs-timepub,0.0240326844508532
s_raytrace_ll,2,spinlock,149037
ocean_cp,4,mcs_spin,0.173010380622837
ssl_proxy,8,malthusian_stp,22790
p_raytrace,2,partitioned,0.00677920141007389
canneal,6,posix_adaptive,0.0119146908137734
ssl_proxy,4,ticket,12219
s_raytrace_ll,1,cbomcs_spin,100305
ferret,8,ttas,0.0478468899521531
blackscholes,6,mcs_spin,0.0246669955599408
radix,4,mcs_spin,0.217864923747277
freqmine,6,partitioned,0.0213949507916132
barnes,4,clh_stp,0.0560224089635854
facesim,8,partitioned,0.00672133351256889
ocean_ncp,4,c-ptl-tkt,0.164203612479475
s_raytrace,4,malthusian_spin,0.0712758374910905
bodytrack,8,cbomcs_spin,0.0420344682639765
fmm,1,backoff,0.0293772032902468
water_nsquared,1,clh_spin,0.00672540184276011
s_raytrace,8,malthusian_spin,0.072463768115942
bodytrack,1,ttas,0.0197433366238894
word_count,6,cbomcs_stp,0.0828500414250207
radiosity_ll,6,partitioned,163118
s_raytrace_ll,4,clh_spin,258575
ocean_ncp,4,cbomcs_stp,0.137174211248285
bodytrack,1,partitioned,0.0198688654877806
pca_ll,1,clh_stp,256912
facesim,8,ttas,0.0361925443358668
water_spatial,4,backoff,0.0613873542050338
lu_ncb,6,clh_spin,0.0423908435777872
swaptions,4,malthusian_stp,0.0486381322957198
mysqld,8,mcs-timepub,789
volrend,4,mcs_spin,0.103734439834025
s_raytrace,1,mcs_spin,0.0227324391907252
string_match,4,cbomcs_spin,0.0500751126690035
fmm,8,clh_spin,0.048828125
fluidanimate,2,spinlock,0.00966183574879227
linear_regression,1,posix,0.854700854700855
pca_ll,2,posix_adaptive,483287
pca,8,posix_adaptive,0.0394944707740916
word_count,8,clh_stp,0.0728862973760933
s_raytrace_ll,4,cbomcs_stp,117519
ssl_proxy,1,mcs-timepub,36925
freqmine,2,ttas,0.0143533802210421
linear_regression,6,backoff,1.35135135135135
x264,1,ttas,0.0504286434694907
x264,8,ttas,0.0911577028258888
blackscholes,8,mcs_stp,0.0259268861809697
s_raytrace,4,ticket,0.0459981600735971
canneal,8,backoff,0.0123395853899309
radiosity,4,malthusian_stp,0.0236294896030246
s_raytrace_ll,6,mcs-timepub,179911
facesim,2,posix,0.0662690523525514
ocean_cp,1,c-tkt-tkt,0.123456790123457
matrix_multiply,4,ticket,0.0520020800832033
bodytrack,2,partitioned,0.0297885016383676
streamcluster_ll,6,posix_adaptive,2332
water_nsquared,4,ttas,0.0217864923747277
barnes,2,mcs_spin,0.0333000333000333
pca_ll,1,mcs-timepub,283488
kmeans,6,cbomcs_spin,0.0276243093922652
pca,4,mcs_spin,0.0547945205479452
string_match,4,cbomcs_stp,0.0494071146245059
facesim,8,spinlock,0.0087070091423596
s_raytrace,2,cbomcs_spin,0.041101520756268
ocean_ncp,1,mcs_stp,0.113765642775882
linear_regression,2,malthusian_spin,1.23456790123457
string_match,1,c-ptl-tkt,0.0149812734082397
linear_regression,1,spinlock,0.78740157480315
water_spatial,1,cbomcs_stp,0.0267451190157796
radiosity,1,c-ptl-tkt,0.0244319569997557
barnes,6,mcs_stp,0.0791139240506329
swaptions,1,spinlock,0.0133422281521014
blackscholes,2,clh_spin,0.0200160128102482
water_spatial,2,malthusian_spin,0.0403225806451613
water_nsquared,2,spinlock,0.01232741617357
water_spatial,1,mcs-timepub,0.0273747604708459
ssl_proxy,4,c-ptl-tkt,40812
s_raytrace,2,posix,0.0407331975560081
volrend,6,ticket,0.0802568218298555
x264,1,ticket,0.0487329434697856
bodytrack,8,mcs-timepub,0.0419287211740042
water_nsquared,6,cbomcs_stp,0.0290697674418605
