bench,node,strategy,throughput
canneal,2,c-ptl-tkt,0.00959508731529457
water_nsquared,8,c-ptl-tkt,0.0351864883884588
linear_regression,2,posix_adaptive,0.65359477124183
p_raytrace,4,partitioned,0.00649519355676799
pca_ll,2,posix_adaptive,259187
s_raytrace_ll,4,partitioned,223200
streamcluster_ll,2,malthusian_stp,10858
streamcluster,2,mcs_stp,0.401606425702811
swaptions,1,mcs_spin,0.0110815602836879
radix,8,cbomcs_stp,0.31055900621118
water_spatial,8,backoff,0.0733137829912023
lu_cb,1,cbomcs_spin,0.0155860349127182
vips,2,cbomcs_stp,0.0551571980143409
pca,6,spinlock,0.016490765171504
p_raytrace,4,malthusian_stp,0.0065837118967674
bodytrack,2,ttas,0.027292576419214
ferret,2,partitioned,0.0123258967089856
radiosity,1,mcs_spin,0.0224618149146451
lu_cb,1,ttas,0.0155690487311225
matrix_multiply,6,backoff,0.0759301442672741
s_raytrace,2,backoff,0.0332005312084993
ferret,1,c-ptl-tkt,0.00726163677292862
s_raytrace_ll,6,spinlock,30904
water_nsquared,8,c-ptl-tkt,0.0355618776671408
kmeans,1,clh_spin,0.00813802083333333
dedup,1,mcs_stp,0.0259336099585062
lu_ncb,6,clh_spin,0.0537345513164965
ssl_proxy,4,ticket,16779
word_count,2,cbomcs_stp,0.101626016260163
water_spatial,2,ticket,0.0334896182183523
facesim,4,ticket,0.07097232079489
fmm,1,malthusian_spin,0.0217627856365615
pca_ll,4,partitioned,317926
kmeans,4,ttas,0.0194212468440474
water_spatial,4,cbomcs_spin,0.0509683995922528
ocean_ncp,1,ticket,0.0488997555012225
blackscholes,2,ticket,0.0183789744532255
ocean_ncp,4,c-tkt-tkt,0.138121546961326
kmeans,8,posix,0.0319897632757518
matrix_multiply,2,mcs-timepub,0.0267379679144385
lu_cb,4,partitioned,0.0452079566003617
water_nsquared,1,mcs-timepub,0.00497586704483256
ssl_proxy,8,ttas,3783
matrix_multiply,6,mcs_stp,0.0757002271006813
pca_ll,4,mcs-timepub,405548
water_nsquared,1,clh_stp,0.00481950937394573
radiosity,4,ticket,0.0212811236433284
radiosity_ll,8,cbomcs_spin,189077
radiosity,4,ttas,0.0218818380743982
linear_regression,4,partitioned,1.20481927710843
barnes,8,cbomcs_stp,0.087719298245614
s_raytrace,8,spinlock,0.0114692051840807
word_count,8,malthusian_stp,0.0779423226812159
water_spatial,6,malthusian_stp,0.0629722921914358
facesim,4,mcs_stp,0.0657894736842105
s_raytrace,2,spinlock,0.0339328130302002
blackscholes,4,partitioned,0.0222866057499443
s_raytrace_ll,8,posix_adaptive,51845
radiosity_ll,8,ticket,33778
facesim,2,ttas,0.0607533414337789
s_raytrace_ll,4,mcs_stp,19991
swaptions,4,partitioned,0.0438020148926851
radiosity_ll,6,c-ptl-tkt,191634
word_count,6,c-tkt-tkt,0.087719298245614
pca,6,cbomcs_spin,0.0541418516513265
canneal,1,partitioned,0.00736865374696043
s_raytrace_ll,1,partitioned,92742
pca_ll,1,partitioned,167345
pca_ll,1,cbomcs_stp,168097
fft,8,spinlock,0.0758150113722517
water_spatial,8,backoff,0.0722543352601156
ocean_cp,8,mcs-timepub,0.126422250316056
water_nsquared,2,mcs_spin,0.00975134080936129
ocean_cp,2,clh_stp,0.0914076782449726
pca,1,c-ptl-tkt,0.0371885459278542
x264,1,partitioned,0.0325097529258778
streamcluster,2,ttas,0.574712643678161
blackscholes,2,malthusian_stp,0.0183891136447223
lu_ncb,2,clh_spin,0.024931438544004
lu_ncb,2,malthusian_spin,0.0256016385048643
volrend,2,cbomcs_stp,0.0708215297450425
mysqld,2,malthusian_stp,1425
s_raytrace_ll,2,mcs_stp,132079
ferret,1,cbomcs_spin,0.00723222680263253
barnes,8,mcs_stp,0.089126559714795
pca_ll,1,backoff,169297
fft,1,malthusian_stp,0.0619195046439629
ferret,8,c-ptl-tkt,0.0101884870096791
s_raytrace,1,spinlock,0.017286084701815
ocean_ncp,8,mcs_spin,0.122249388753056
vips,2,ticket,0.0293169158604515
bodytrack,1,mcs_stp,0.0173973556019485
radix,8,backoff,0.311526479750779
histogram,8,clh_stp,0.29940119760479
s_raytrace,4,posix,0.0520291363163372
radiosity,2,c-tkt-tkt,0.0238606537819136
lu_ncb,1,partitioned,0.0125770343353037
pca,2,malthusian_stp,0.0508130081300813
word_count,4,c-ptl-tkt,0.0946073793755913
word_count,1,posix,0.065402223675605
water_nsquared,2,clh_stp,0.0091844232182219
string_match,6,clh_stp,0.0469263256687001
radix,2,c-ptl-tkt,0.118203309692671
p_raytrace,1,mcs-timepub,0.00652571130253198
facesim,1,posix,0.0338868180277872
linear_regression,6,partitioned,1.38888888888889
s_raytrace_ll,1,cbomcs_stp,92515
p_raytrace,8,posix,0.00658935160780179
lu_cb,2,partitioned,0.0280662363177098
x264,2,cbomcs_spin,0.0240096038415366
radiosity_ll,8,mcs_stp,11308
s_raytrace,8,clh_spin,0.0921658986175115
fmm,1,posix,0.0218292949137743
swaptions,2,clh_spin,0.0221092195445501
p_raytrace,8,spinlock,0.00653552055421214
swaptions,2,mcs-timepub,0.0220994475138122
p_raytrace,8,mcs_spin,0.00657289338766925
pca,8,posix_adaptive,0.0404040404040404
s_raytrace,4,backoff,0.0584795321637427
dedup,8,mcs_spin,0.0177588350204227
pca_ll,2,ttas,267038
freqmine,1,clh_spin,0.00628733102797862
linear_regression,8,posix,1.16279069767442
streamcluster,1,mcs_spin,0.469483568075117
fft,4,spinlock,0.0738007380073801
blackscholes,8,spinlock,0.0252716704574172
radiosity_ll,2,mcs_spin,145445
dedup,4,malthusian_stp,0.0205170291341814
