bench,node,strategy,throughput
lu_cb,1,backoff,0.0461467466543609
fmm,1,clh_stp,0.0423728813559322
ssl_proxy,1,malthusian_spin,54008
dedup,3,posix_adaptive,0.0620732464307883
s_raytrace,1,mcs_stp,0.0533617929562433
radiosity_ll,3,malthusian_spin,203177
fmm,4,posix_adaptive,0.0733137829912023
pca_ll,4,partitioned,591741
fmm,4,posix,0.072992700729927
ssl_proxy,4,mcs-timepub,41044
fmm,4,mcs_spin,0.0635727908455181
string_match,3,ttas,0.0952380952380952
word_count,4,mcs_spin,0.0879507475813544
dedup,2,malthusian_spin,0.0266737796745799
swaptions,2,clh_stp,0.0668449197860962
pca,3,ttas,0.060790273556231
blackscholes,4,clh_stp,0.0351493848857645
lu_ncb,2,backoff,0.0488758553274682
linear_regression,2,malthusian_stp,1.88679245283019
streamcluster,1,c-ptl-tkt,0.689655172413793
ssl_proxy,1,ticket,30907
pca,1,c-tkt-tkt,0.0892857142857143
linear_regression,4,cbomcs_stp,0.87719298245614
string_match,1,spinlock,0.0355366027007818
lu_ncb,4,mcs-timepub,0.0836120401337793
ferret,4,clh_spin,0.0115713955102985
canneal,3,spinlock,0.0134553283100108
x264,4,mcs_stp,0.13869625520111
lu_ncb,4,malthusian_stp,0.0943396226415094
streamcluster_ll,1,spinlock,13213
freqmine,1,malthusian_stp,0.0131181949363768
water_nsquared,4,backoff,0.0638977635782748
p_raytrace,2,malthusian_stp,0.0134084204880665
dedup,2,clh_stp,0.012685525815045
volrend,4,posix_adaptive,0.127713920817369
ssl_proxy,1,ttas,33974
vips,1,spinlock,0.0862068965517241
x264,4,spinlock,0.137362637362637
x264,3,spinlock,0.139470013947001
s_raytrace,1,posix_adaptive,0.054525627044711
kmeans,2,malthusian_spin,0.0347463516330785
kmeans,1,cbomcs_spin,0.0244618395303327
radiosity_ll,1,mcs_stp,25225
streamcluster_ll,4,spinlock,5147
streamcluster,4,ttas,0.0717875089734386
x264,2,clh_spin,0.133689839572192
fmm,3,posix_adaptive,0.0671591672263264
barnes,3,clh_spin,0.116959064327485
streamcluster_ll,2,cbomcs_spin,19272
x264,3,mcs_stp,0.138312586445367
vips,3,backoff,0.238663484486873
pca,2,mcs_stp,0.021128248468202
blackscholes,1,spinlock,0.0255427841634738
barnes,3,mcs_spin,0.120772946859903
p_raytrace,4,mcs_spin,0.0133333333333333
swaptions,2,posix,0.0668449197860962
lu_cb,4,mcs_stp,0.0915750915750916
water_nsquared,4,ticket,0.0564015792442188
histogram,1,mcs_spin,0.909090909090909
string_match,4,malthusian_stp,0.119189511323004
radiosity,2,mcs-timepub,0.0632111251580278
mysqld,4,malthusian_stp,2924
streamcluster,3,c-ptl-tkt,0.338983050847458
histogram,3,ticket,0.571428571428571
streamcluster,3,malthusian_spin,0.120627261761158
word_count,4,mcs-timepub,0.0903342366757001
barnes,3,malthusian_spin,0.118764845605701
ferret,3,c-ptl-tkt,0.0127828198900677
ssl_proxy,4,clh_stp,5226
mysqld,1,mcs-timepub,1901
matrix_multiply,2,posix,0.061012812690665
ferret,2,posix,0.0529380624669137
s_raytrace_ll,4,malthusian_spin,257230
kmeans,1,malthusian_spin,0.0245459008345606
volrend,4,c-ptl-tkt,0.166666666666667
p_raytrace,3,clh_spin,0.0134989200863931
matrix_multiply,2,partitioned,0.0596302921884317
lu_cb,4,malthusian_spin,0.0928505106778087
radiosity,1,posix,0.0604960677555959
pca_ll,2,cbomcs_spin,824351
matrix_multiply,4,mcs_spin,0.111607142857143
canneal,1,mcs_stp,0.011119759813188
s_raytrace,4,cbomcs_stp,0.0302206104563312
fmm,4,cbomcs_spin,0.068259385665529
x264,2,malthusian_spin,0.134408602150538
string_match,3,posix_adaptive,0.0959692898272553
blackscholes,1,posix,0.025654181631606
ssl_proxy,3,spinlock,6757
bodytrack,1,mcs_spin,0.0364564345607
linear_regression,1,mcs_spin,1.08695652173913
s_raytrace_ll,3,mcs-timepub,358289
canneal,1,cbomcs_stp,0.0111520017843203
lu_cb,1,ttas,0.0461254612546125
barnes,4,cbomcs_spin,0.139082058414465
swaptions,4,mcs_spin,0.132450331125828
s_raytrace_ll,1,mcs_spin,151576
blackscholes,1,ttas,0.0255950857435372
swaptions,1,cbomcs_stp,0.0365898280278083
radiosity_ll,1,posix_adaptive,171716
bodytrack,2,c-ptl-tkt,0.0509424350483953
ssl_proxy,2,partitioned,51475
matrix_multiply,4,malthusian_spin,0.118063754427391
matrix_multiply,3,posix_adaptive,0.0892857142857143
